ambientTemp,objectTemp,humidity,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,iteration
21.06,13.44,47.94064,-0.85,-0.18,-0.01,-0.45,-8.09,-3.81,35.68,75.40,-75.70,1
21.06,13.44,47.94064,-0.85,-0.18,-0.01,-0.45,-8.09,-3.81,35.68,75.40,-75.70,2
21.06,13.84,47.94064,-0.85,-0.18,-0.01,-0.45,-8.09,-3.81,35.68,75.40,-75.70,3
21.06,13.84,47.94064,-0.85,-0.18,-0.01,-0.45,-8.09,-3.81,35.68,75.40,-75.70,4
21.06,13.84,47.94064,-0.85,-0.18,-0.01,-0.45,-8.09,-3.81,35.68,75.40,-75.70,5
21.06,13.84,47.94064,-0.85,-0.18,-0.01,-0.45,-8.09,-3.81,35.68,75.40,-75.70,6
21.06,13.84,47.94064,-0.85,-0.18,-0.01,-0.45,-8.09,-3.81,35.68,75.40,-75.70,7
21.06,13.84,47.94064,-0.85,-0.18,-0.01,-0.45,-8.09,-3.81,35.68,75.40,-75.70,8
21.06,13.84,47.94064,-0.84,0.06,-0.19,-5.37,-38.45,7.09,36.28,75.70,-75.55,9
21.06,13.84,47.94064,-0.84,0.06,-0.19,-5.37,-38.45,7.09,36.28,75.70,-75.55,10
21.06,13.84,47.94064,-0.84,0.06,-0.19,-5.37,-38.45,7.09,36.28,75.70,-75.55,11
21.06,13.84,47.94064,-0.84,0.06,-0.19,-5.37,-38.45,7.09,36.28,75.70,-75.55,12
21.06,14.06,47.94064,-0.84,0.06,-0.19,-5.37,-38.45,7.09,36.28,75.70,-75.55,13
21.06,14.06,47.94064,-0.84,0.06,-0.19,-5.37,-38.45,7.09,36.28,75.70,-75.55,14
21.06,14.06,47.94064,-0.84,0.06,-0.19,-5.37,-38.45,7.09,36.28,75.70,-75.55,15
21.06,14.06,47.94064,-0.84,0.06,-0.19,-5.37,-38.45,7.09,36.28,75.70,-75.55,16
21.06,14.06,47.94064,-0.84,0.06,-0.19,-5.37,-38.45,7.09,36.28,75.70,-75.55,17
21.06,14.06,47.94064,-0.84,0.06,-0.19,-5.37,-38.45,7.09,36.28,75.70,-75.55,18
21.06,14.06,47.94064,-0.22,-0.32,0.09,-62.94,11.37,2.30,31.33,65.96,-92.04,19
21.06,14.06,47.94064,-0.22,-0.32,0.09,-62.94,11.37,2.30,31.33,65.96,-92.04,20
21.06,14.06,47.94064,-0.22,-0.32,0.09,-62.94,11.37,2.30,31.33,65.96,-92.04,21
21.06,14.06,47.94064,-0.22,-0.32,0.09,-62.94,11.37,2.30,31.33,65.96,-92.04,22
21.06,14.16,47.94064,-0.22,-0.32,0.09,-62.94,11.37,2.30,31.33,65.96,-92.04,23
