ambientTemp,objectTemp,humidity,pressure,altitude,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,light,time
22.25,15.66,45.2398,989,1.676694,-0.89,-0.09,0.26,1.84,-4.36,8.30,23.38,78.55,-73.15,49.44,1464793425
22.25,15.88,45.2398,989.02,1.499801,-0.41,0.25,-0.02,-62.18,-10.05,-17.37,19.04,66.26,-99.09,18.67,1464793426
22.25,15.81,45.2398,988.99,1.764621,-0.67,-0.34,0.12,-48.93,4.96,0.03,-11.39,106.73,-167.14,22.12,1464793427
22.25,15.84,45.2398,989,1.676694,-1.25,-0.05,0.08,15.32,-12.50,2.89,-6.15,76.75,-110.93,15.06,1464793428
22.25,15.66,45.2398,989.04,1.323433,-0.94,0.10,0.32,-81.51,-3.68,0.77,10.94,120.67,-61.16,72.58,1464793429
22.25,15.38,45.2398,988.99,1.764621,-0.75,-0.03,0.06,-89.45,8.82,-2.86,32.68,83.50,-32.98,362.24,1464793430
22.25,15.97,45.2398,989,1.676694,-0.90,-0.12,0.19,-62.89,-10.90,21.79,47.52,114.83,-74.65,368.80,1464793431
22.25,15.78,45.2398,989.02,1.499801,-0.89,-0.01,0.16,7.81,-5.66,-0.42,20.09,81.25,-74.05,193.04,1464793432
22.25,15.84,45.2398,989.01,1.588247,-0.28,0.18,-0.18,-69.73,-0.01,-18.41,23.23,62.66,-97.29,17.07,1464793433
22.25,15.72,45.2398,988.99,1.764621,-0.28,0.18,-0.18,-69.73,-0.01,-18.41,23.23,62.66,-97.29,21.23,1464793434
22.25,15.66,45.2398,988.99,1.764621,0.23,0.36,0.90,-1.41,-3.70,-2.40,-55.61,31.33,-118.87,6.52,1464793435
22.25,15.88,45.2398,989.02,1.499801,0.18,0.36,0.94,-1.41,-3.73,-3.84,-55.46,32.68,-118.57,6.37,1464793436
22.25,15.66,45.2398,988.99,1.764621,0.19,0.35,0.95,-0.37,-3.53,-3.08,-53.07,33.43,-121.27,6.37,1464793437
22.25,15.72,45.2398,989.02,1.499801,0.13,0.29,0.95,-0.54,-5.04,-2.31,-54.41,33.73,-122.02,6.37,1464793438
