ambientTemp,objectTemp,humidity,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,iteration
23.62,17.94,35.19936,-0.89,0.01,-0.01,-1.63,-4.87,-3.15,37.33,84.54,-70.45,1
23.62,17.94,35.19936,-0.89,0.01,-0.01,-1.63,-4.87,-3.15,37.33,84.54,-70.45,2
23.62,17.94,35.19936,-0.89,0.01,-0.01,-1.63,-4.87,-3.15,37.33,84.54,-70.45,3
23.62,17.94,35.19936,-0.89,0.01,-0.01,-1.63,-4.87,-3.15,37.33,84.54,-70.45,4
23.62,17.94,35.19936,-0.89,0.01,-0.01,-1.63,-4.87,-3.15,37.33,84.54,-70.45,5
23.62,17.78,35.19936,-0.89,0.01,-0.01,-1.63,-4.87,-3.15,37.33,84.54,-70.45,6
23.62,17.78,35.19936,-0.92,0.02,-0.02,0.22,-5.14,-3.89,38.08,84.54,-69.70,7
23.62,17.78,35.19936,-0.89,0.04,-0.09,3.76,-3.82,-6.66,39.57,83.35,-66.86,8
23.62,17.78,35.19936,-0.89,0.04,-0.09,3.76,-3.82,-6.66,39.57,83.35,-66.86,9
23.62,17.78,35.19936,-0.89,0.04,-0.09,3.76,-3.82,-6.66,39.57,83.35,-66.86,10
23.62,17.78,35.19936,-0.89,0.04,-0.09,3.76,-3.82,-6.66,39.57,83.35,-66.86,11
23.62,17.78,35.19936,-0.89,0.04,-0.09,3.76,-3.82,-6.66,39.57,83.35,-66.86,12
23.62,17.78,35.19936,-0.89,0.04,-0.09,3.76,-3.82,-6.66,39.57,83.35,-66.86,13
23.62,17.78,35.19936,-0.89,0.04,-0.09,3.76,-3.82,-6.66,39.57,83.35,-66.86,14
23.62,17.78,35.19936,-0.89,0.04,-0.09,3.76,-3.82,-6.66,39.57,83.35,-66.86,15
23.69,24.88,35.19936,-0.89,0.04,-0.09,3.76,-3.82,-6.66,39.57,83.35,-66.86,16
23.69,24.88,35.19936,-0.89,0.04,-0.09,3.76,-3.82,-6.66,39.57,83.35,-66.86,17
23.69,24.88,35.19936,-0.77,0.09,0.01,-49.99,-8.08,3.54,41.97,82.75,-65.21,18
23.69,24.88,35.19936,-0.77,0.09,0.01,-49.99,-8.08,3.54,41.97,82.75,-65.21,19
23.69,24.88,35.19936,-0.77,0.09,0.01,-49.99,-8.08,3.54,41.97,82.75,-65.21,20
23.69,24.88,35.19936,-0.77,0.09,0.01,-49.99,-8.08,3.54,41.97,82.75,-65.21,21
23.69,24.88,35.19936,-0.77,0.09,0.01,-49.99,-8.08,3.54,41.97,82.75,-65.21,22
23.69,24.88,35.19936,-0.77,0.09,0.01,-49.99,-8.08,3.54,41.97,82.75,-65.21,23
23.69,24.88,35.19936,-0.77,0.09,0.01,-49.99,-8.08,3.54,41.97,82.75,-65.21,24
23.69,24.88,35.19936,-0.77,0.09,0.01,-49.99,-8.08,3.54,41.97,82.75,-65.21,25
23.62,18.38,35.19936,-0.77,0.09,0.01,-49.99,-8.08,3.54,41.97,82.75,-65.21,26
23.62,18.38,35.19936,-0.77,0.09,0.01,-49.99,-8.08,3.54,41.97,82.75,-65.21,27
23.62,18.38,35.19936,-0.68,-0.05,0.08,-66.09,-2.06,-3.18,20.54,60.71,-96.84,28
23.62,18.38,35.19936,-0.68,-0.05,0.08,-66.09,-2.06,-3.18,20.54,60.71,-96.84,29
23.62,18.38,35.19936,-0.68,-0.05,0.08,-66.09,-2.06,-3.18,20.54,60.71,-96.84,30
23.62,18.38,35.19936,-0.68,-0.05,0.08,-66.09,-2.06,-3.18,20.54,60.71,-96.84,31
23.62,18.38,35.19936,-0.68,-0.05,0.08,-66.09,-2.06,-3.18,20.54,60.71,-96.84,32
23.62,18.38,35.19936,-0.68,-0.05,0.08,-66.09,-2.06,-3.18,20.54,60.71,-96.84,33
23.62,18.38,35.19936,-0.68,-0.05,0.08,-66.09,-2.06,-3.18,20.54,60.71,-96.84,34
23.62,18.38,35.19936,-0.68,-0.05,0.08,-66.09,-2.06,-3.18,20.54,60.71,-96.84,35
23.62,18.34,35.19936,-0.68,-0.05,0.08,-66.09,-2.06,-3.18,20.54,60.71,-96.84,36
23.62,18.34,35.19936,-0.68,-0.05,0.08,-66.09,-2.06,-3.18,20.54,60.71,-96.84,37
23.62,18.34,35.19936,-0.88,-0.03,0.15,-55.85,-18.95,-2.19,11.54,104.78,-147.05,38
23.62,18.34,35.19936,-0.88,-0.03,0.15,-55.85,-18.95,-2.19,11.54,104.78,-147.05,39
23.62,18.34,35.19936,-0.88,-0.03,0.15,-55.85,-18.95,-2.19,11.54,104.78,-147.05,40
23.62,18.34,35.19936,-0.88,-0.03,0.15,-55.85,-18.95,-2.19,11.54,104.78,-147.05,41
23.62,18.34,35.19936,-0.88,-0.03,0.15,-55.85,-18.95,-2.19,11.54,104.78,-147.05,42
