ambientTemp,objectTemp,humidity,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,light,time
23.09,16.75,43.72152,-0.58,0.08,-0.20,11.71,5.23,-7.89,39.87,82.45,-75.85,16.96,1464808410
23.09,16.75,43.72152,-1.06,0.12,-0.04,-69.13,-6.37,0.62,33.73,73.45,-97.89,25.16,1464808411
23.09,16.91,43.72152,-0.99,0.07,0.09,-65.58,-5.64,-1.63,-21.74,108.83,-188.43,25.16,1464808412
23.09,16.75,43.72152,-1.07,-0.27,-0.28,-22.25,-10.29,-8.35,12.74,79.15,-108.83,28.53,1464808413
23.09,16.81,43.72152,-0.43,-0.08,0.00,-47.15,-2.62,-2.65,11.84,127.57,-76.15,9.15,1464808414
23.09,16.97,43.75204,-0.78,-0.01,-0.13,-60.81,2.05,-11.71,39.42,94.29,-44.37,14.38,1464808415
23.09,16.78,43.72152,-0.86,-0.02,0.06,-63.56,-8.39,4.14,26.08,124.12,-124.42,23.79,1464808416
23.09,16.72,43.72152,-0.86,-0.09,-0.08,4.41,-10.75,-8.46,37.18,80.80,-79.15,16.08,1464808417
23.09,16.81,43.84359,-1.04,-0.05,-0.05,-78.42,3.86,2.05,32.08,69.10,-91.14,27.18,1464808418
23.09,16.78,43.72152,-1.04,-0.05,-0.05,-78.42,3.86,2.05,32.08,69.10,-91.14,28.54,1464808419
23.09,16.75,43.72152,-0.98,-0.12,0.04,-24.07,-13.87,-5.69,-2.25,102.83,-92.04,38.90,1464808420
23.09,16.81,43.75204,-0.49,0.12,-0.04,-59.07,-4.83,-3.77,9.14,126.07,-80.05,11.17,1464808421
23.09,16.84,43.72152,-0.69,-0.24,0.30,-41.89,-7.55,46.78,38.97,97.29,-44.22,28.44,1464808422
23.09,16.75,43.75204,0.12,-0.01,0.49,-34.40,-72.92,54.79,26.08,125.77,-119.32,30.30,1464808423
23.09,16.69,43.75204,0.09,-0.03,0.97,0.58,-6.12,-3.18,81.70,43.62,36.13,126.96,1464808424
23.09,16.50,43.75204,0.11,-0.03,0.96,0.05,-6.10,-3.18,71.80,80.35,26.68,130.16,1464808425
23.09,16.78,43.75204,0.17,-0.05,1.05,-2.38,-5.70,-1.57,71.50,81.70,27.73,119.84,1464808426
23.09,16.59,43.75204,0.09,-0.06,0.98,0.62,-5.83,-3.45,73.45,81.25,27.88,128.24,1464808427
23.09,16.78,43.75204,0.08,-0.07,0.98,-1.17,-4.67,-2.10,74.05,80.35,28.03,120.84,1464808428
23.09,16.72,43.75204,0.08,-0.07,0.98,-1.17,-4.67,-2.10,74.05,80.35,28.03,119.24,1464808429
23.09,16.38,43.75204,0.08,-0.07,0.98,-1.17,-4.67,-2.10,74.05,80.35,28.03,128.92,1464808430
23.09,16.44,43.75204,0.08,-0.07,0.98,-1.17,-4.67,-2.10,74.05,80.35,28.03,128.92,1464808431
23.09,16.25,43.75204,0.08,-0.07,0.98,-1.17,-4.67,-2.10,74.05,80.35,28.03,129.56,1464808432
23.09,16.12,43.75204,0.08,-0.07,0.98,-1.17,-4.67,-2.10,74.05,80.35,28.03,129.88,1464808433
23.09,16.28,43.75204,0.08,-0.07,0.98,-1.17,-4.67,-2.10,74.05,80.35,28.03,138.56,1464808434
23.09,16.62,43.75204,0.08,-0.07,0.98,-1.17,-4.67,-2.10,74.05,80.35,28.03,129.24,1464808435
23.09,16.50,43.75204,0.08,-0.07,0.98,-1.17,-4.67,-2.10,74.05,80.35,28.03,129.20,1464808436
23.09,16.44,43.75204,0.08,-0.07,0.98,-1.17,-4.67,-2.10,74.05,80.35,28.03,128.24,1464808437
23.09,16.38,43.72152,0.08,-0.07,0.98,-1.17,-4.67,-2.10,74.05,80.35,28.03,105.40,1464808438
23.09,16.69,43.72152,0.08,-0.07,0.98,-1.17,-4.67,-2.10,74.05,80.35,28.03,123.08,1464808439
23.09,16.56,43.72152,0.08,-0.07,0.98,-1.17,-4.67,-2.10,74.05,80.35,28.03,130.48,1464808440
23.09,16.50,43.72152,0.08,-0.07,0.98,-1.17,-4.67,-2.10,74.05,80.35,28.03,122.80,1464808441
23.09,16.62,43.72152,0.08,-0.07,0.98,-1.17,-4.67,-2.10,74.05,80.35,28.03,114.72,1464808442
23.09,16.53,43.72152,0.08,-0.07,0.98,-1.17,-4.67,-2.10,74.05,80.35,28.03,128.56,1464808443
23.09,16.44,43.72152,0.08,-0.07,0.98,-1.17,-4.67,-2.10,74.05,80.35,28.03,127.92,1464808444
23.09,16.34,43.72152,0.08,-0.07,0.98,-1.17,-4.67,-2.10,74.05,80.35,28.03,129.20,1464808445
23.09,16.53,43.72152,0.08,-0.07,0.98,-1.17,-4.67,-2.10,74.05,80.35,28.03,128.88,1464808446
23.09,16.47,43.72152,0.08,-0.07,0.98,-1.17,-4.67,-2.10,74.05,80.35,28.03,129.88,1464808447
23.06,16.56,43.72152,0.08,-0.07,0.98,-1.17,-4.67,-2.10,74.05,80.35,28.03,130.16,1464808448
