ambientTemp,objectTemp,humidity,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,TimeStamp,DERAIL
22.28,15.47,45.85015,-0.91,-0.02,-0.06,1.09,-5.35,-1.95,62.66,61.76,-82.45,1466606714.034487,0
22.28,15.47,45.85015,-0.91,-0.02,-0.06,1.09,-5.35,-1.95,62.66,61.76,-82.45,1466606714.16461,0
22.28,15.47,45.85015,-0.91,-0.02,-0.06,1.09,-5.35,-1.95,62.66,61.76,-82.45,1466606714.344627,0
22.28,15.47,45.85015,-0.91,-0.02,-0.06,1.09,-5.35,-1.95,62.66,61.76,-82.45,1466606714.654544,0
22.28,15.47,45.85015,-0.91,-0.02,-0.06,1.09,-5.35,-1.95,62.66,61.76,-82.45,1466606714.835005,0
22.28,15.56,45.85015,-0.91,-0.02,-0.06,1.09,-5.35,-1.95,62.66,61.76,-82.45,1466606714.994605,0
22.28,15.56,45.85015,-0.91,-0.02,-0.06,1.09,-5.35,-1.95,62.66,61.76,-82.45,1466606715.144601,0
22.28,15.56,45.85015,-0.91,-0.02,-0.06,1.09,-5.35,-1.95,62.66,61.76,-82.45,1466606715.405634,0
22.28,15.56,45.85015,-0.91,-0.02,-0.06,1.09,-5.35,-1.95,62.66,61.76,-82.45,1466606715.554551,0
22.28,15.56,45.85015,-1.02,0.02,-0.10,-1.05,-4.72,-4.36,33.73,73.45,-80.65,1466606715.874596,0
22.25,15.97,45.85015,-0.74,0.09,-0.20,-0.68,11.46,3.59,49.77,83.20,-79.00,1466606715.954658,0
22.25,15.97,45.85015,-0.74,0.09,-0.20,-0.68,11.46,3.59,49.77,83.20,-79.00,1466606716.284546,0
22.25,15.97,45.85015,-0.74,0.09,-0.20,-0.68,11.46,3.59,49.77,83.20,-79.00,1466606716.404599,0
22.25,15.97,45.85015,-0.74,0.09,-0.20,-0.68,11.46,3.59,49.77,83.20,-79.00,1466606716.554597,0
22.25,15.97,45.85015,-0.92,-0.07,0.18,-78.75,-66.60,2.93,57.26,64.16,-72.10,1466606716.906225,0
22.25,15.97,45.85015,-0.92,-0.07,0.18,-78.75,-66.60,2.93,57.26,64.16,-72.10,1466606716.990928,0
22.25,15.97,45.85015,-0.92,-0.07,0.18,-78.75,-66.60,2.93,57.26,64.16,-72.10,1466606717.154489,0
22.25,15.97,45.85015,-0.92,-0.07,0.18,-78.75,-66.60,2.93,57.26,64.16,-72.10,1466606717.444753,0
22.25,15.97,45.85015,-0.92,-0.07,0.18,-78.75,-66.60,2.93,57.26,64.16,-72.10,1466606717.614815,0
22.25,15.97,45.85015,-0.92,-0.07,0.18,-78.75,-66.60,2.93,57.26,64.16,-72.10,1466606717.755408,0
22.25,15.84,45.85015,-1.30,-0.01,-0.14,-73.48,-19.44,-5.25,-16.04,86.34,-183.63,1466606718.009064,0
22.25,15.84,45.85015,-1.30,-0.01,-0.14,-73.48,-19.44,-5.25,-16.04,86.34,-183.63,1466606718.157372,0
22.25,15.84,45.85015,-1.30,-0.01,-0.14,-73.48,-19.44,-5.25,-16.04,86.34,-183.63,1466606718.411675,0
22.25,15.84,45.85015,-1.30,-0.01,-0.14,-73.48,-19.44,-5.25,-16.04,86.34,-183.63,1466606718.557391,0
22.25,15.84,45.85015,-1.30,-0.01,-0.14,-73.48,-19.44,-5.25,-16.04,86.34,-183.63,1466606718.847259,0
22.25,15.75,45.85015,-0.77,-0.01,-0.29,-2.18,-11.84,-0.09,-7.20,82.45,-101.93,1466606719.017368,0
22.25,15.75,45.85015,-0.77,-0.01,-0.29,-2.18,-11.84,-0.09,-7.20,82.45,-101.93,1466606719.257785,0
22.25,15.75,45.85015,-0.77,-0.01,-0.29,-2.18,-11.84,-0.09,-7.20,82.45,-101.93,1466606719.459458,0
22.25,15.75,45.85015,-0.77,-0.01,-0.29,-2.18,-11.84,-0.09,-7.20,82.45,-101.93,1466606719.869991,0
22.25,16.00,45.85015,-0.72,0.03,0.05,-88.19,-34.11,-8.93,13.04,119.17,-64.61,1466606720.180013,0
22.25,16.00,45.85015,-0.72,0.03,0.05,-88.19,-34.11,-8.93,13.04,119.17,-64.61,1466606720.28011,0
22.25,16.00,45.85015,-0.72,0.03,0.05,-88.19,-34.11,-8.93,13.04,119.17,-64.61,1466606720.462285,0
22.25,16.00,45.85015,-0.72,0.03,0.05,-88.19,-34.11,-8.93,13.04,119.17,-64.61,1466606720.584647,0
22.25,16.00,45.85015,-0.72,0.03,0.05,-88.19,-34.11,-8.93,13.04,119.17,-64.61,1466606720.794641,0
22.25,15.66,45.85015,-0.75,0.04,-0.16,-76.92,-31.38,-5.76,-13.49,104.78,-122.77,1466606721.0573,0
22.25,15.66,45.85015,-0.75,0.04,-0.16,-76.92,-31.38,-5.76,-13.49,104.78,-122.77,1466606721.204711,0
22.25,15.66,45.85015,-0.75,0.04,-0.16,-76.92,-31.38,-5.76,-13.49,104.78,-122.77,1466606721.515225,0
22.25,15.66,45.85015,-0.75,0.04,-0.16,-76.92,-31.38,-5.76,-13.49,104.78,-122.77,1466606721.584979,0
22.25,15.66,45.85015,-0.75,0.04,-0.16,-76.92,-31.38,-5.76,-13.49,104.78,-122.77,1466606721.847868,0
22.25,15.75,45.85015,-0.94,0.11,-0.07,-13.37,-24.45,0.84,32.53,62.66,-94.89,1466606721.957411,0
22.25,15.75,45.85015,-0.94,0.11,-0.07,-13.37,-24.45,0.84,32.53,62.66,-94.89,1466606722.227237,0
22.25,15.75,45.85015,-0.94,0.11,-0.07,-13.37,-24.45,0.84,32.53,62.66,-94.89,1466606722.427507,0
22.25,15.75,45.85015,-0.94,0.11,-0.07,-13.37,-24.45,0.84,32.53,62.66,-94.89,1466606722.60837,0
22.25,15.75,45.85015,-0.79,-0.12,-0.03,-76.91,4.52,-1.07,20.09,60.86,-125.17,1466606722.944603,0
22.25,16.03,45.85015,-0.79,-0.12,-0.03,-76.91,4.52,-1.07,20.09,60.86,-125.17,1466606723.014733,0
22.25,16.03,45.85015,-0.79,-0.12,-0.03,-76.91,4.52,-1.07,20.09,60.86,-125.17,1466606723.254601,0
22.25,16.03,45.85015,-0.79,-0.12,-0.03,-76.91,4.52,-1.07,20.09,60.86,-125.17,1466606723.444599,0
22.25,16.03,45.85015,-0.79,-0.12,-0.03,-76.91,4.52,-1.07,20.09,60.86,-125.17,1466606723.664603,0
22.25,16.03,45.85015,-0.79,-0.12,-0.03,-76.91,4.52,-1.07,20.09,60.86,-125.17,1466606723.754693,0
22.25,15.88,45.85015,-0.83,0.02,-0.06,-87.45,9.88,0.17,51.72,100.43,-120.97,1466606724.07457,0
